MMSI,Vessel Name,IMO Number,Call Sign,Vessel Type,Length,Breadth,Depth,Flag
671087100,WATER SPIRIT 2,IMO9212424,5VGA7,Cargo,70,18,4.0,Unknown
241940000,ASKLIPIOS,IMO9884021,SVDZ2,Tanker,299,46,9.3,Greece
477293600,JUMEIRAH BEACH,IMO9642045,VRMY5,Cargo,179,28,10.0,Unknown
636017516,MSC MIRJA,IMO9762338,D5LI6,Cargo - Hazmat A,398,59,14.7,Unknown
636023318,SEA KSANTI,IMO9799939,5LNC8,Cargo,183,30,8.7,Unknown
563219100,EVER MAGI,IMO9935222,9V7627,74,366,51,15.3,Singapore
636025012,MSC GIOIA TAURO,IMO9946738,5LVJ6,73,366,51,13.0,Unknown
563266100,NAVIG8 UNIVERSE,IMO9489106,9VDY9,82,183,32,11.6,Singapore
538004164,METHANE PRINCESS,IMO9253715,V7VN4,Tanker,277,43,9.0,Marshall Islands
538011037,RISING SKY.GR,IMO9782259,V7A6488,Cargo,199,32,11.2,Marshall Islands
563099000,EAGLE VERONA,IMO9597264,9V6223,Tanker,333,60,11.0,Singapore
538009744,MARLIN SICILY,IMO9835848,V7A5108,Tanker,274,48,11.7,Marshall Islands
440737000,JOO HYE,IMO9597680,D7JH,Cargo,177,28,6.7,South Korea
538010720,WM CRYSTAL,IMO9660152,V7A7318,Cargo,132,23,5.6,Marshall Islands
219654000,NAVIGARE GAIA,IMO9694634,OVIH2,Tanker,225,36,8.0,Denmark
636023805,CSPC JADE,IMO1048346,5LPM9,Cargo,225,36,11.6,Unknown
538008842,GOLDEN FORWARD,IMO9852535,V7A2820,Cargo,229,32,8.5,Marshall Islands
538011231,FAIRCHEM PRESTIGE,IMO9984261,V7A6831,Tanker,158,27,10.1,Marshall Islands
563935000,STRATEGIC SYNERGY,IMO9648087,9VAG4,Cargo,179,30,7.0,Singapore
266261000,FIDELIO,IMO9332937,SLKR,Cargo,228,32,9.3,Sweden
255995000,MISSISSIPPI,IMO9954187,CRZL,Cargo,255,37,10.6,Portugal
538010974,MADO,IMO9694622,V7A6391,Tanker,225,36,11.9,Marshall Islands
414195000,REN JIAN 8,IMO9326756,BVKQ5,Cargo,264,32,8.0,China
636023545,AFRICAN NIGHTJAR,IMO9690901,5LOF6,Cargo,180,30,7.0,Unknown
215905000,ADAMASTOS,IMO9879698,9HA5361,Tanker,299,46,11.8,Malta
232059973,KING FISHER,IMO9556038,MRTL4,Tanker,104,17,6.3,United Kingdom
538010972,VELOS ONYX,IMO9682966,V7A6388,Cargo,235,38,7.0,Marshall Islands
636093153,CONTESSA,IMO9610119,5LJT2,Cargo,225,32,8.9,Unknown
538006937,COOPER,IMO9603051,V7TB6,Fishing,189,32,7.6,Marshall Islands
538011788,QURAYYAT,IMO9828778,VRSH9,Tanker,332,60,15.2,Marshall Islands
255804740,MONTESTENA,IMO9585883,CQKU,Tanker,274,48,14.3,Portugal
636018729,MSC EXPRESS III,IMO9374571,A8LG7,Cargo - Hazmat A,215,30,10.2,Unknown
538008998,GENERAL GUISAN,IMO9888027,V7A4178,Cargo,197,32,9.0,Marshall Islands
636023101,MSC VIVIENNE,IMO9947122,5LLY5,Cargo - Hazmat A,366,51,14.1,Unknown
636024862,ATHENA SAN,IMO9623659,5LUQ6,Cargo,183,30,10.6,Unknown
210063000,PELAGIC TURBOT,IMO9550709,5BUH2,Tanker,228,32,11.2,Cyprus
538070734,RICE QUARTERS H2O2,IMO9539896,V7UF3,Pleasure Craft,40,8,2.0,Marshall Islands
636018042,BONA,IMO9594432,D5NX6,Cargo,177,28,5.9,Unknown
255916279,POLSTEAM DABIE,IMO9971850,CQ2708,Cargo,200,24,7.1,Portugal
538004028,RIO GRANDE,IMO9593438,V7UT9,Tanker,274,48,8.8,Marshall Islands
538008585,YM ADVANCE,IMO9860685,V7A2539,Cargo,199,32,6.9,Marshall Islands
245081000,DUTCH BLUE,IMO9646778,PBZS,Other,52,14,4.2,Netherlands
563157500,TSUKUYOMI ETERNITY,IMO9791078,9V8002,Cargo,180,30,8.5,Singapore
229680000,CMA CGM ARICA,IMO9395094,9HA5558,Cargo - Hazmat A,165,25,8.4,Malta
538090634,HANSA TROMSOE,IMO9366287,V7A6130,Tanker,183,32,8.2,Marshall Islands
538006867,BEN NEVIS,IMO9670420,V7SH9,Cargo,179,30,7.1,Marshall Islands
477681400,NOBLE ISLAND,IMO9705316,VRTX4,Cargo,199,32,7.2,Unknown
477333900,COSCOSHIPPING THAMES,IMO9731937,VRQP6,Cargo - Hazmat A,300,48,12.8,Unknown
636024127,CL FOSHAN,IMO1021893,5LRC7,Cargo,199,32,13.3,Unknown
209449000,ROCKPIPER,IMO9583861,5BML3,Dredger,159,36,8.3,Cyprus
538001664,REGATTA,IMO9156474,V7DM3,Passenger,180,25,5.9,Marshall Islands
249035000,ALAM SAYANG,IMO9651034,9HA6078,Cargo,199,32,11.5,Malta
538011105,BOA,IMO9623764,V7A6591,Cargo,190,32,10.8,Marshall Islands
538005516,YANGTZE LEGEND,IMO9706827,V7EQ9,Cargo,179,30,7.2,Marshall Islands
538011812,SAPPHIRE,IMO9443425,V7A3512,Tanker,183,28,10.6,Marshall Islands
566706000,INDUS TRIUMPH,IMO9563938,9V8464,Cargo,230,38,7.1,Singapore
219532000,MAERSK LIRQUEN,IMO9526887,OZHU2,Cargo,300,45,12.0,Denmark
538004202,MOL MISSION,IMO9475650,V7VS5,Cargo - Hazmat A,302,42,11.7,Marshall Islands
245347000,AZORESBORG,IMO9466051,PBPU,Cargo,142,21,5.4,Netherlands
