MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
1001,AIRBORNE SAR,,R4A,,,,,Unknown
2320208,LOMOND,93,,,,,,United Kingdom
5631101,PSAB,99,TEST1,,,,,Singapore
6925141,JOANN@@BHEP@M9A.,56,PB8475.,,,,,Unknown
9415789,HKS 1,79,PF2486,,,,,Unknown
111205511,PILOT SERVICES SV,,OO-NSV,,,,,Unknown
111211510,D-HLTQ,,D-HLTQ,,,,,Unknown
111224103,SASEMAR 103,,EC-KEM,,,,,Unknown
111224503,HELIMER 203,,.......,,,,,Unknown
111224504,HELIMER 206,SAR Vessel,.......,,,,,Unknown
111224506,HELIMER 204,,.......,,,,,Unknown
111224507,HELIMER 207,SAR Vessel,.......,,,,,Unknown
111232013,COASTGUARD,,RESB,,,,,Unknown
111232014,COASTGUARD,,RESA,,,,,Unknown
111232029,SAR AIRCRAFT G-HMGG,,,,,,,Unknown
111232030,SAR AIRCRAFT G-HMGH,,,,,,,Unknown
111232031,SAR AIRCRAFT G-HMGI,,,,,,,Unknown
111232513,S-92A 225,SAR Vessel,G-MCGG,,,,,Unknown
111244518,PH-RSQ,,PH-RSQ,,,,,Unknown
111250053,EI-IRD IRCG AW189,,EIIRD,,,,,Unknown
111256105,AIRBORNE SAR,SAR Vessel,31625,,,,,Unknown
111257506,LN-OXH,,LN-OXH,,,,,Unknown
111257507,LN-OXI,,LN-OXI,,,,,Unknown
111257511,SAR AC  RESCUE 7,,LN-OQY,,,,,Unknown
111257517,920296,,LNOIK,,,,,Unknown
111261509,SAR0906,Military,SAR0906,,,,,Unknown
111265582,LIFEGUARD 002,SAR Vessel,SE JRI,,,,,Unknown
111265583,LIFEGUARD 003,SAR Vessel,SE JRJ,,,,,Unknown
111265586,LIFEGUARD 006,SAR Vessel,SE JRM,,,,,Unknown
111265587,LIFEGUARD 007,SAR Vessel,SE JRN,,,,,Unknown
203999352,WACHAU,69,OED3052,,,,,Unknown
203999372,KEPLER,99,YP9372,,,,,Unknown
203999399,ALPHA,Dredger,OED3148,,,,,Unknown
204208790,BELA AURORA,Fishing,CUEG9,,,,,Unknown
204601240,ILHA DE SAO LUIS,Tug,CSXR3,,,,,Unknown
205065000,VB TRIUMPHANTE,Tug,OROU,,,,,Belgium
205072000,SIMON STEVIN,99,ORBS,,,,,Belgium
205083000,BOKA TIAMAT,79,ORUE,,,,,Belgium
205142390,REDE,79,OT1423,,,,,Belgium
205168000,CL FLANDERS,Cargo,ONLQ,,,,,Belgium
205200190,IMMUNITY,99,OT2001,,,,,Belgium
205208000,BNS CROCUS,Military,ORGC,,,,,Belgium
205213990,MILWAUKEE,Other,OT2139,,,,,Belgium
205214890,MALAYU,79,OT2148,,,,,Belgium
205215190,KAPITEIN A.DE WILDE,69,OT2151,,,,,Belgium
205218590,DW ANTWERPEN,Tanker,OT2185,,,,,Belgium
205233000,VB FALCON,Other,ORKQ,,,,,Belgium
205238890,RAVEEL ONTMOET ENSOR,69,OT2388,,,,,Belgium
205239000,CMA CGM DOLOMITES,Cargo,ONLY,,,,,Belgium
205246390,RONALY,79,OT2463,,,,,Belgium
205255190,DIAMOND,Other,O,,,,,Belgium
205260390,COSMOS,Tanker,2603,,,,,Belgium
205267690,RUPELDAM,79,OT2676,,,,,Belgium
205270310,ATHENA,Pleasure Craft,OR2703,,,,,Belgium
205271390,THEODELA,99,OT2713,,,,,Belgium
205280000,TUG 55,Tug,ORUQ,,,,,Belgium
205291000,WARRIOR N-79,,OPDA,,,,,Belgium
205309000,LANGE WAPPER,Dredger,ORMP,,,,,Belgium
205318590,BELCANTO,79,OT3185,,,,,Belgium
205329000,TUG 54,Tug,ORUT,,,,,Belgium
205332000,WINDCAT AMSTERDAM,Other,ORUX,,,,,Belgium
205333090,CHRISTARO,,OT3330,,,,,Belgium
205342890,BLAUWE REIGER,,OT3428,,,,,Belgium
205343000,FAST OLIVIA,Cargo,ONMQ,,,,,Belgium
205346000,FAST ANNA SOFIA,Cargo,ONMR,,,,,Belgium
205367490,AMBITIEUX,Cargo,OT3674,,,,,Belgium
205372590,LOVE STORY,99,OT3725,,,,,Belgium
205388990,CETUS,79,OT3889,,,,,Belgium
205393990,DIABLO,79,OT 3939,,,,,Belgium
205395090,TIESTO,79,OT3950,,,,,Belgium
205400610,CHAFLOR,Pleasure Craft,OR4006,,,,,Belgium
205407490,NEW YORK CITY,79,OT4074,,,,,Belgium
205417000,VB EMERALD,79,OROE,,,,,Belgium
205423000,EXCELSIOR,Tanker,ONCD,,,,,Belgium
205447090,SEJONA,79,OT4470,,,,,Belgium
205451090,JEANNE PANNE,69,OT4510,,,,,Belgium
205453000,MELUSINE,Cargo,ONDM,,,,,Belgium
205474000,VB AMBER,Tug,ORNJ,,,,,Belgium
205479090,CLEMA,79,OT4790,,,,,Belgium
205491290,ELISABETHSTAD,Tanker,OT4912,,,,,Belgium
205492290,AZZURRO,79,OT4922,,,,,Belgium
205498490,RIO Y MAR,99,OT4984,,,,,Belgium
205520090,MITCHELL-F,79,OT5200,,,,,Belgium
205526970,LUCKY JANE,Pleasure Craft,OQ5269,,,,,Belgium
205529590,INDUS,79,OT5295,,,,,Belgium
205533890,CYGNUS,79,OT5338,,,,,Belgium
205534000,GOLDEN WAVE,Cargo,ONQI,,,,,Belgium
205534190,DILIS,79,OT5341,,,,,Belgium
205536490,AEOLUS,Other,OT5364,,,,,Belgium
205538000,ALBATROS,Other,ORPB,,,,,Belgium
205544990,ATHENA,20,OT5449,,,,,Belgium
205546000,VB  KOALA,Tug,ORPF,,,,,Belgium
205546090,XANTHOS,79,OT5460,,,,,Belgium
205548590,ZONGA,79,OT5485,,,,,Belgium
205549290,LNG LONDON,Tanker,OT5492,,,,,Belgium
205550290,CALISTHEA,,OT5502,,,,,Belgium
205555190,COMMODORE,Tanker,OT5551,,,,,Belgium
205556390,RAGNAR,79,OT5563,,,,,Belgium
205558391,RIVER DRONE 1,79,OT5583,,,,,Belgium
205560990,NOVANDI,20,OT5609,,,,,Belgium
205567390,GLORIA,99,OT5673,,,,,Belgium
205567490,POROS,99,OT5674,,,,,Belgium
205568990,PHEROUSA,20,OT5689,,,,,Belgium
205571790,THEGER,Tanker,OT 5717,,,,,Belgium
205571890,MYLLA,79,OT5718,,,,,Belgium
205577790,DIANTHUS,Other,OT5777,,,,,Belgium
205579490,FLORENCE,79,OT5794,,,,,Belgium
205581390,ELENA,79,OT5813,,,,,Belgium
205584000,CORNELIA,Pleasure Craft,ONGU,,,,,Belgium
205587390,BIRJO III,Tanker,OT5873,,,,,Belgium
205587490,CATANIA,79,OT5874,,,,,Belgium
205639000,ZEESCHELDE,79,ORBT,,,,,Belgium
205770710,CHANI,99,OR7707,,,,,Belgium
207290000,MULTRATUG 22,Tug,LZRD,,,,,Bulgaria
207822380,TULENOVO 2,,LZH2238,,,,,Bulgaria
207836720,ALTEYA,Pleasure Craft,LZH3672,,,,,Bulgaria
207838890,NANGARA,,LZH3889,,,,,Bulgaria
209075000,NINA,79,5BTL4,,,,,Cyprus
209156000,UBC STAVANGER,79,P3XJ9,,,,,Cyprus
209164000,YVONNE,Tug,5BWB4,,,,,Cyprus
209168000,AGATH,Tanker,5BFJ6,,,,,Cyprus
209170000,JAMES JOYCE,Passenger,C4TQ2,,,,,Cyprus
209184000,IMAVERE,Cargo,5BWV4,,,,,Cyprus
209223000,AMETHYST,Tanker,5BXW4,,,,,Cyprus
209341000,BERNSTEIN,Tanker,5BBF5,,,,,Cyprus
209352000,PETSAS I,,P3CQ9,,,,,Cyprus
209440000,CHAMPION JET 1,99,5BFR4,,,,,Cyprus
209535000,NORDEN,Cargo,5BEQ5,,,,,Cyprus
209536000,KONGSDAL,79,5BEP5,,,,,Cyprus
209659000,CONTAINERSHIPSAURORA,Cargo,5BGU5,,,,,Cyprus
209671000,CEMLUNA,Cargo,C4BX2,,,,,Cyprus
209710000,FERROMAR,Cargo,5BJB5,,,,,Cyprus
209835000,ASTRAIA,Tanker,5BHS6,,,,,Cyprus
209836000,CT ROTTERDAM,79,5BSX2,,,,,Cyprus
209864000,POLONIA,Passenger,5BKU5,,,,,Cyprus
209867000,GRYF,Passenger,5BKV5,,,,,Cyprus
209911000,SKANIA,Passenger,5BLN5,,,,,Cyprus
209952000,ULYSSES,61,C4HP2,,,,,Cyprus
209968000,RIX STREAM,Cargo,5BML5,,,,,Cyprus
210021000,DALARNA,Cargo,5BNQ5,,,,,Cyprus
210039000,LEMESSOS CASTLE,Cargo,5BNZ5,,,,,Cyprus
210056000,ZIRCONE,Tanker,5BPE5,,,,,Cyprus
210095000,GALILEUSZ,Passenger,C4LV2,,,,,Cyprus
210098000,STENA EMBLA,61,5BQA5,,,,,Cyprus
210167000,ELBSPRINTER,Cargo,C4RJ2,,,,,Cyprus
210174000,VARSOVIA,69,5BKT6,,,,,Cyprus
210254000,TOSCA,Tanker,5BUW5,,,,,Cyprus
210329000,RUSADIR,69,5BWW5,,,,,Cyprus
210340000,ARABELLA,Tanker,5BXD5,,,,,Cyprus
210423000,SUPERRUNNER JET 2,HSC,5BEM6,,,,,Cyprus
210425000,EPSILON,Passenger,5BZX5,,,,,Cyprus
210544000,RIX WARRIOR,Cargo,5BDF6,,,,,Cyprus
210546000,STELLAMAR,Cargo,5BDE6,,,,,Cyprus
210550000,KAMBR,Other,C4GX2,,,,,Cyprus
210553000,ASPEN,Cargo,5BDK6,,,,,Cyprus
210561000,RADUGA ALTAIR,Tug,5BDQ6,,,,,Cyprus
210581000,CAPE RACE,Cargo,5BRQ3,,,,,Cyprus
210607000,BAYMAR,Cargo,5BNW6,,,,,Cyprus
210661000,IWS SUNWALKER,,5BEU6,,,,,Cyprus
210719000,PATRIS,Cargo,5BYW6,,,,,Cyprus
211025949,ANIMO,Pleasure Craft,DB5949,,,,,Germany
211033707,DOMARIN 34,79,DC3707,,,,,Germany
211100000,ANTONIA B,Cargo,DGPS,,,,,Germany
211100700,ATLAS,Tug,DF2823,,,,,Germany
211106650,STURMMOEWE,,DBFE,,,,,Germany
211113010,LOESCHBOOT WESTPHAL,99,DA3493,,,,,Germany
211115500,AMADEUS  QUEEN,69,DF3214,,,,,Germany
211118000,FAIRPLAY-34,Tug,DIZQ2,,,,,Germany
211124510,ZERBERUS,79,DJ3953,,,,,Germany
211125170,BALTIC TAUCHER I,Tug,DCIM2,,,,,Germany
211128410,NECKAR XIV,Passenger,DC3368,,,,,Germany
211130000,ARKONA,55,DBBU,,,,,Germany
211146780,EVENTIN,Tanker,DLJS,,,,,Germany
211148060,AVISO,Pleasure Craft,DB5575,,,,,Germany
211155250,ALSTERSCHWAN,69,DH4324,,,,,Germany
211160150,EUROPA,69,DH4083,,,,,Germany
211160680,A-ROSA DONNA,Passenger,DC8431,,,,,Germany
211168190,KAEPP'N BRASS,Passenger,DCJW2,,,,,Germany
211169180,SISSI,69,DC3471,,,,,Germany
211169380,GAU,99,DA5280,,,,,Germany
211169420,CHARLY,79,DC2191,,,,,Germany
211172020,VISURA,55,DF4368,,,,,Germany
211178250,DETTMER TANK 52,Tanker,DB9041,,,,,Germany
211180750,BEVENRODE,Other,DA3025,,,,,Germany
211182220,MORGENSTERN,20,DC2221,,,,,Germany
211182370,DUBURG,99,DA2335,,,,,Germany
211183070,ANITA,69,DD3167,,,,,Germany
211184520,STOER,79,DJ 6807,,,,,Germany
211185750,HOL BLANK,20,DA3079,,,,,Germany
211190430,O3,,DMAF,,,,,Germany
211190960,KVB.BAVARIA86.SL22,20,DC4547,,,,,Germany
211194690,ESTE,79,DD8765,,,,,Germany
211197660,HAMBURG PILOT 4,Other,ES3835,,,,,Germany
211198200,HAFENAMT 2,99,DG2864,,,,,Germany
211199110,BOARDWALK,Pleasure Craft,ZGVS3,,,,,Germany
211200690,WESTFALEN,Passenger,DCNN,,,,,Germany
211205180,VM1,55,PI5887,,,,,Germany
211205920,GROSHERZOGINELISABET,Sailing,DGEN,,,,,Germany
211207650,WSP 5,55,DLKE,,,,,Germany
211209320,HARLINGERLAND,69,DCCT,,,,,Germany
211209510,MERKUR II,Passenger,DJNK,,,,,Germany
211210100,GERMAN WARSHIP A514,Military,DRHM,,,,,Germany
211210280,GORCH FOCK,Military,DRAX,,,,,Germany
211210380,NATO WARSHIP,Military,DRFC,,,,,Germany
211211200,GERMAN WARSHIP M1065,Military,DREX,,,,,Germany
211211230,GERMAN WARSHIP M1068,Military,DRFA,,,,,Germany
211211850,SPESSART,Military,DRKN,,,,,Germany
211214970,MUENSTERLAND,65,DCJB,,,,,Germany
211215520,FRIEDRICH WESSELS,Tug,DEBU,,,,,Germany
211217760,SENCKENBERG,,DDAW,,,,,Germany
211218770,SPIEKEROOG3,Passenger,DCUH,,,,,Germany
211218820,STUBNITZ,Other,Y4HK,,,,,Germany
211223240,WALFISCH,55,DBDV,,,,,Germany
211224310,EMS,99,DBDO,,,,,Germany
211224680,LUETJEHOERN,55,DBDP,,,,,Germany
211226140,BALTIC LIFT,39,DFQC,,,,,Germany
